;cvm;codigo;ano;1;1.01.01;1.01.02;1.02.01.01;1.02.01.02;1.02.01.03;2.01.04;2.01.02;2.02.01;3.05;open;close;QtdAcoes;Volume;EBIT;ROIC;EV;DVIDALIQUIDA
1178;18708;PEAB3;2011;757918;126124.0;199801.0;;;;13903.0;12971.0;10278.0;-2439.0;;;1285;307;-2439.0;-0.00394135318176603;;
1179;18708;PEAB4;2011;757918;126124.0;199801.0;;;;13903.0;12971.0;10278.0;-2439.0;;;1285;307;-2439.0;-0.00394135318176603;;
1180;18708;PEAB3;2012;697614;200112.0;75453.0;;;;10346.0;12847.0;6945.0;-2767.0;;;1285;174;-2767.0;-0.005709215833943733;;
1181;18708;PEAB4;2012;697614;200112.0;75453.0;;;;10346.0;12847.0;6945.0;-2767.0;;;1285;174;-2767.0;-0.005709215833943733;;
1182;18708;PEAB3;2013;674469;207042.0;64207.0;;;;23928.0;15568.0;3611.0;-21107.0;;;1285;206;-21107.0;-0.04671147415454821;;
1183;18708;PEAB4;2013;674469;207042.0;64207.0;;;;23928.0;15568.0;3611.0;-21107.0;;;1285;206;-21107.0;-0.04671147415454821;;
1184;18708;PEAB3;2014;621896;186693.0;32491.0;;;;17534.0;16845.0;278.0;8785.0;;;1285;106;8785.0;0.02099876182599592;;
1185;18708;PEAB4;2014;621896;186693.0;32491.0;;;;17534.0;16845.0;278.0;8785.0;;;1285;106;8785.0;0.02099876182599592;;
1186;18708;PEAB3;2015;596641;164244.0;21871.0;;;4708.0;0.0;14680.0;0.0;15547.0;;;1285;209.151.727;15547.0;0.03721897839925117;;
1187;18708;PEAB4;2015;596641;164244.0;21871.0;;;4708.0;0.0;14680.0;0.0;15547.0;;;1285;209.151.727;15547.0;0.03721897839925117;;
1188;18708;PEAB3;2016;642643;175962.0;44955.0;;;1223.0;0.0;18097.0;0.0;36642.0;;;1285;227.953.561;36642.0;0.08168369803648814;;
1189;18708;PEAB4;2016;642643;175962.0;44955.0;;;1223.0;0.0;18097.0;0.0;36642.0;;;1285;227.953.561;36642.0;0.08168369803648814;;
1190;18708;PEAB3;2017;649347;166041.0;;52265.0;;1317.0;;17771.0;;38562.0;;;12850278;247.742.270;38562.0;0.08283372893552579;;
1191;18708;PEAB4;2017;649347;166041.0;;52265.0;;1317.0;;17771.0;;38562.0;;;12850278;247.742.270;38562.0;0.08283372893552579;;
1192;18708;PEAB3;2018;663835;182388.0;;51306.0;;;;20865.0;;35304.0;;;12850278;23.994.839;35304.0;0.07665084610340829;;
1193;18708;PEAB4;2018;663835;182388.0;;51306.0;;;;20865.0;;35304.0;;;12850278;23.994.839;35304.0;0.07665084610340829;;
1194;18724;BRAP3;2010;14281252;955726.0;;;;;1109419.0;336930.0;2317353.0;2453397.0;39.8;43.99;349548;656.677;2453397.0;0.18888854499747318;13912010.399999999;
1195;18724;BRAP4;2010;14281252;955726.0;;;;;1109419.0;336930.0;2317353.0;2453397.0;39.2;43.32;349548;656.677;2453397.0;0.18888854499747318;13702281.600000001;
1196;18724;BRAP3;2011;10739426;263983.0;;1315098.0;;;306882.0;;540036.0;2167700.0;44.9;35.02;349548;828.235;2167700.0;;15694705.2;
1197;18724;BRAP4;2011;10739426;263983.0;;1315098.0;;;306882.0;;540036.0;2167700.0;44.71;31.69;349548;828.235;2167700.0;;15628291.08;
1198;18724;BRAP3;2012;11060825;254205.0;;1081595.0;;;951257.0;;0.0;570436.0;34.0;30.55;349548;31.092.222;570436.0;;11884632.0;
1199;18724;BRAP4;2012;11060825;254205.0;;1081595.0;;;951257.0;;0.0;570436.0;32.69;32.83;349548;31.092.222;570436.0;;11426724.12;
1200;18724;BRAP3;2013;10858768;258678.0;;964843.0;;;0.0;;1045686.0;19594.0;30.55;20.3;349548;1.343.289;19594.0;;10678691.4;
1201;18724;BRAP4;2013;10858768;258678.0;;964843.0;;;0.0;;1045686.0;19594.0;32.83;25.08;349548;1.343.289;19594.0;;11475660.84;
1202;18724;BRAP3;2014;10598919;312003.0;;934518.0;;;1165109.0;;0.0;57595.0;20.09;11.81;349548;1.501.017;57595.0;;7022419.32;
1203;18724;BRAP4;2014;10598919;312003.0;;934518.0;;;1165109.0;;0.0;57595.0;24.14;14.3;349548;1.501.017;57595.0;;8438088.72;
1204;18724;BRAP3;2015;9694451;377977.0;;791734.0;;;0.0;;1347692.0;-2476513.0;10.9;4.44;349548;1.878.440;-2476513.0;;3810073.2;
1205;18724;BRAP4;2015;9694451;377977.0;;791734.0;;;0.0;;1347692.0;-2476513.0;13.64;4.99;349548;1.878.440;-2476513.0;;4767834.72;
1206;18724;BRAP3;2016;10277017;439060.0;1353180.0;0.0;;;0.0;;1548238.0;781880.0;4.28;12.58;349548;1.837.958;781880.0;;1496065.4400000002;
1207;18724;BRAP4;2016;10277017;439060.0;1353180.0;0.0;;;0.0;;1548238.0;781880.0;4.7;14.85;349548;1.837.958;781880.0;;1642875.6;
1208;18724;BRAP3;2017;11322515;1671661.0;0.0;0.0;;;1711854.0;;0.0;2609791.0;12.3;24.73;349548;1.945.360;2609791.0;;4299440.4;
1209;18724;BRAP4;2017;11322515;1671661.0;0.0;0.0;;;1711854.0;;0.0;2609791.0;14.5;28.72;349548;1.945.360;2609791.0;;5068446.0;
1210;18724;BRAP3;2018;10634336;459811.0;0.0;;;;0.0;;209861.0;1234255.0;25.39;29.3;348034;1.967.860;1234255.0;;8836583.26;
1211;18724;BRAP4;2018;10634336;459811.0;0.0;;;;0.0;;209861.0;1234255.0;29.62;31.69;348034;1.967.860;1234255.0;;10308767.08;
1212;18775;IVPR3B;2010;3868951;14451.0;79132.0;23191.0;;4052.0;377108.0;57699.0;1531760.0;177933.0;;;273299352;19.579.401;177933.0;0.04686392571009121;;
