;cvm;codigo
PNVL4;PNVL4;9342
PMAM3;PMAM3;9393
PATI3;PATI3;94
PATI4;PATI4;94
PETR3;PETR3;9512
PETR4;PETR4;9512
RPAD3;RPAD3;9954
RPAD5;RPAD5;9954
RPAD6;RPAD6;9954
RPMG3;RPMG3;9989
ADHM3;ADHM3;21725
ARZZ3;ARZZ3;22349
SSBR3;SSBR3;22357
ENAT3;ENAT3;22365
SHOW3;SHOW3;22454
MGLU3;MGLU3;22470
QUAL3;QUAL3;22497
BPHA3;BPHA3;22500
TECN3;TECN3;22519
SEDU3;SEDU3;22551
STKF3;STKF3;22594
BPAC11;BPAC11;22616
BPAC3;BPAC3;22616
BPAC5;BPAC5;22616
RADL3;RADL3;5258
HAGA3;HAGA3;13366
HAGA4;HAGA4;13366
CCXC3;CCXC3;20184
NUTR3;NUTR3;21334
LCAM3;LCAM3;22691
SQIA3;SQIA3;22799
BPAT33;BPAT33;80063
PPLA11;PPLA11;80152
TCNO3;TCNO3;11207
TCNO4;TCNO4;11207
CSAN3;CSAN3;19836
ALUP11;ALUP11;21490
ALUP3;ALUP3;21490
ALUP4;ALUP4;21490
UCAS3;UCAS3;22780
LINX3;LINX3;23035
BBSE3;BBSE3;23159
IGSN3;IGSN3;23175
SEER3;SEER3;23221
ANIM3;ANIM3;23248
ABEV3;ABEV3;23264
CVCB3;CVCB3;23310
TELB3;TELB3;11258
TELB4;TELB4;11258
RLOG3;RLOG3;23485
DMMO3;DMMO3;23493
DMMO11;DMMO11;23493
OFSA3;OFSA3;23507
EEEL3;EEEL3;3204
EEEL4;EEEL4;3204
JBDU11;JBDU11;12319
JBDU12;JBDU12;12319
JBDU3;JBDU3;12319
JBDU4;JBDU4;12319
GEPA3;GEPA3;18368
GEPA4;GEPA4;18368
QUSW3;QUSW3;23302
MEAL3;MEAL3;23574
WIZS3;WIZS3;23590
HCBR3;HCBR3;23710
HCBR1;HCBR1;23710
AHEB3;AHEB3;9415
AHEB5;AHEB5;9415
AHEB6;AHEB6;9415
CBSC-CRA12B0;CBSC-CRA12B0;18287
CBSC-CRA19B0;CBSC-CRA19B0;18287
CBSC-CRA1AB0;CBSC-CRA1AB0;18287
CBSC-CRA1BB0;CBSC-CRA1BB0;18287
CBSC-CRA21B0;CBSC-CRA21B0;18287
BRQB3;BRQB3;23817
CNSY3;CNSY3;23965
AALR3;AALR3;24058
ATOM3;ATOM3;15423
OMGE3;OMGE3;23426
MOVI3;MOVI3;23825
PARD3;PARD3;24090
AZUL4;AZUL4;24112
CRFB3;CRFB3;24171
IRBR3;IRBR3;24180
STTR3;STTR3;24201
PRNR3;PRNR3;24236
SMLS3;SMLS3;24252
BKBR3;BKBR3;24317
GBIO33;GBIO33;80179
LOGG3;LOGG3;23272
MSRO3;MSRO3;23612
SMFT11;SMFT11;24260
SMFT12;SMFT12;24260
SMFT13;SMFT13;24260
SMFT14;SMFT14;24260
SMFT15;SMFT15;24260
SMFT3;SMFT3;24260
SMFT6;SMFT6;24260
INNT3;INNT3;24279
FLEX3;FLEX3;24350
GNDI3;GNDI3;24384
HAPV3;HAPV3;24392
BIDI4;BIDI4;24406
PTCA11;PTCA11;24546
PTCA3;PTCA3;24546
EALT3;EALT3;5380
EALT4;EALT4;5380
