;Volume;ano;cvm;empresa_descr
0;22.303.864;2011;14826;CIA BRASILEIRA DE DISTRIBUICAO
0;22.303.864;2011;15091;LITEL
0;1.2819999999999998;2011;1520;BARDELLA
0;3.617;2011;15253;ENERGISA S.A
0;22.303.864;2011;15300;RUMO MALHA NORTE S.A
0;2;2011;15369;FERROVIA CENTRO-ATLANTICA S.A
0;27.872;2011;15458;BATTISTELLA
0;22.303.864;2011;15539;NEOENERGIA S.A
0;22.303.864;2011;1562;BAUMER
0;2.193.025;2011;16101;GAFISA S.A
0;1.253.595;2011;16292;BRF S.A
0;22.303.864;2011;16306;ROSSI RESID
0;326;2011;16497;ENCORPAR
0;22.303.864;2011;16632;GPC PART
0;22.303.864;2011;16659;PORTO SEGURO S.A
0;22.303.864;2011;1694;BICICLETAS MONARK S.A
0;3.197;2011;16993;EMAE
0;22.303.864;2011;17329;ENGIE BRASIL
0;22.303.864;2011;17450;RUMO S.A
0;22.303.864;2011;17493;CAPITALPART
0;22.303.864;2011;17558;INNCORP S.A
0;22.303.864;2011;17639;TIM PARTICIPACOES S.A
0;22.303.864;2011;17671;TELEF
0;22.303.864;2011;17892;SANTOS BRASIL PARTICIPACOES S.A
0;22.303.864;2011;17914;MMX MINER
0;22.303.864;2011;17922;BRAZILIAN FINANCE E REAL ESTATE S.A
0;22.303.864;2011;17930;RUMO MALHA PAULISTA S.A
0;22.303.864;2011;17973;KROTON EDUCACIONAL S.A
0;200.93400000000003;2011;18376;CTEEP - CIA TRANSMISS
0;22.303.864;2011;18414;IDEIASNET
0;652.095;2011;18465;ULTRAPAR
0;22.303.864;2011;18660;CPFL ENERGIA S.A
0;307;2011;18708;CIA PARTICIPACOES ALIANCA DA BAHIA
0;828.235;2011;18724;BRADESPAR
0;22.303.864;2011;18775;INVEPAR
0;22.303.864;2011;18821;CCR S.A
0;22.303.864;2011;18953;CPFL GERACAO
0;22.303.864;2011;18970;AES TIETE E
0;22.303.864;2011;19062;ANDRADE GUTIERREZ PARTICIPACOES S.A
0;22.303.864;2011;19100;LIQ PARTICIPA
0;22.303.864;2011;19305;BIOMM
0;11.616;2011;19330;TPI - TRIUNFO PARTICIP. E INVEST. S.A
0;22.303.864;2011;19437;ANDRADE GUTIERREZ CONCESSOES S.A
0;291.02299999999997;2011;19445;COPASA
0;22.303.864;2011;19453;ECORODOVIAS INFRAESTRUTURA E LOGSTICA S.A
0;1.056.474;2011;19550;NATURA
0;22.303.864;2011;19569;GOL LINHAS AEREAS INTELIGENTES S.A
0;63.651;2011;19615;GRENDENE
0;22.303.864;2011;19623;DASA
0;22.303.864;2011;19658;POMIFRUTAS
0;736.1410000000001;2011;19739;LOCALIZA
0;460.75300000000004;2011;19763;EDP - ENERGIAS DO BRASIL S.A
0;641.931;2011;19879;LIGHT S.A
0;22.303.864;2011;19909;BR MALLS PARTICIPACOES S.A
0;291.755;2011;19925;BR PROPERTIES S.A
0;192.945;2011;19992;TOTVS
0;72.031;2011;20010;EQUATORIAL
0;56.835;2011;20028;VALID SOLUCOES S.A
0;145.806;2011;20060;LUPATECH
0;676.59;2011;20087;EMBRAER
0;264.105;2011;20125;ODONTOPREV
0;22.303.864;2011;20257;TRANSMISSORA ALIAN
0;22.303.864;2011;20320;CEMIG GERACAO E TRANSMISSAO S.A
0;55.659;2011;20338;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS
0;6.1160000000000005;2011;20346;PROFARMA
0;22.303.864;2011;20354;TERRA SANTA AGRO S.A
0;22.303.864;2011;20362;POSITIVO TEC
0;22.303.864;2011;20370;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A
0;263.513;2011;20435;TECNISA
0;13.945;2011;20451;RNI NEG
0;3.743.566;2011;20478;PDG REALT
0;162.487;2011;20494;IGUATEMI
0;538.3380000000001;2011;20524;EVEN CONSTRUTORA E INCORPORADORA S.A
0;1.254.302;2011;20532;BCO SANTANDER (BRASIL) S.A
0;22.303.864;2011;20540;CPFL ENERGIAS RENOV
0;22.303.864;2011;20567;PINE
0;22.303.864;2011;20575;JBS
0;107.274;2011;20605;JHSF PART
0;8.341000000000001;2011;20613;METALFRIO
0;21.996;2011;20621;FERTILIZANTES HERINGER S.A
0;22.303.864;2011;20630;CR2
0;22.303.864;2011;20702;VIVER
0;39.115;2011;20710;LOG-IN
0;91.431;2011;20745;SLC AGRICOLA
0;22.303.864;2011;20770;EZ TEC EMPREEND. E PARTICIPACOES S.A
0;926.11;2011;20788;MARFRIG
0;67.71;2011;20800;TEGMA
0;47.341;2011;20877;HELBOR
0;22.303.864;2011;20885;INDUSVAL
0;2.052.708;2011;20915;MRV
0;77.298;2011;20931;MINERVA
0;102.73299999999999;2011;20958;ABC BRASIL
0;5.153;2011;20966;SPRINGS
0;257.253;2011;20982;MULTIPLAN
0;538.58;2011;20990;B2W - COMPANHIA DIGITAL
0;37.966;2011;21008;GENERAL SHOPPING E OUTLETS DO BRASIL S.A
0;22.303.864;2011;2100;CAMBUCI
0;98.279;2011;21016;ESTACIO PART
0;22.303.864;2011;21032;ALGAR TELECOM S
0;3.133;2011;21040;CYRELA COMMERCIAL PROPERT S.A. EMPR PART
0;740.313;2011;21091;DURATEX S.A
0;22.303.864;2011;21121;SUL AMERICA S.A
0;35.06;2011;21130;TRISUL
0;22.303.864;2011;21156;J. MACEDO S.A
0;22.303.864;2011;21180;BRASIL BROKERS PARTICIPACOES S.A
0;22.303.864;2011;21199;BCO PAN S.A
0;22.303.864;2011;21237;ENEVA S.A
0;77.395;2011;21300;ALIANSCE
0;63.943999999999996;2011;21342;OSX BRASIL
0;39.338;2011;21350;DIRECIONAL
