;QtdAcoes;ano;cvm;empresa_descr
0;2.321.500  ;2011;11398;CRISTAL
0;151.488;2011;1155;BANESTES
0;835.498;2011;11592;UNIPAR
0;280.000.000  ;2011;11762;VULCABRAS
0;94.863;2011;11932;IOCHP-MAXION
0;27.000.000  ;2011;11975;AZEVEDO
0;20.58;2011;11991;WETZEL SA
0;408.974;2011;1210;BANRISUL
0;54.065;2011;12190;BOMBRIL
0;11.651;2011;12530;ITAUTEC
0;63.911;2011;12572;RECRUSUL
0;917.683.296  ;2011;12653;KLABIN SA
0;19.291;2011;12696;SANSUY
0;185.955;2011;12823;ALIPERTI
0;35.4;2011;1325;MERC BRASIL
0;10.582;2011;13285;JOSAPAR
0;166.43;2011;13471;PLASCAR PART
0;507.150.000  ;2011;13765;MINUPAR
0;159.009;2011;13773;PORTOBELLO
0;57.736999999999995;2011;13781;SAO CARLOS
0;90.22399999999999;2011;1384;ALFA INVEST
0;408.892;2011;13986;SUZANO S.A
0;243.785;2011;14109;RANDON PART
0;1.322.640.735  ;2011;14133;TECTOY
0;36.305;2011;14206;BRB BANCO
0;273.655.375  ;2011;14311;COPEL
0;1.013.786.190  ;2011;14320;USIMINAS
0;1.502.786  ;2011;14346;WHIRLPOOL
0;227.83599999999998;2011;14443;SABESP
0;9.183.458  ;2011;14451;CEB
0;423.004;2011;14460;CYRELA REALT
0;63.816.925  ;2011;14664;SCHULZ
0;163.43;2011;14761;CIA HERING
0;260.23900000000003;2011;14826;P.ACUCAR-CBD
0;282.105;2011;15091;LITEL
0;1.600.000  ;2011;1520;BARDELLA
0;1.099.857  ;2011;15253;ENERGISA
0;707.543.040  ;2011;15300;ALL NORTE
0;210.197.643.696  ;2011;15369;FER C ATLANT
0;149.678;2011;15458;BATTISTELLA
0;5.850.636  ;2011;15539;NEOENERGIA
0;980.0;2011;1562;BAUMER
0;432.099;2011;16101;GAFISA
0;872.473.246  ;2011;16292;BRF SA
0;268.339.296  ;2011;16306;ROSSI RESID
0;1.9;2011;16497;ENCORPAR
0;358.849.702  ;2011;16632;GPC PART
0;327.642;2011;16659;PORTO SEGURO
0;454.75;2011;1694;BIC MONARK
0;36.946999999999996;2011;16993;EMAE
0;652.742.192  ;2011;17329;ENGIE BRASIL
0;687.664.312  ;2011;17450;RUMO S.A
0;14.049.398  ;2011;17493;CAPITALPART
0;45.294.000  ;2011;17558;SELECTPART
0;2.417.632.647  ;2011;17639;TIM PART SA
0;1.125.602  ;2011;17671;TELEF BRASIL
0;660.8610000000001;2011;17892;SANTOS BRP
0;619.761;2011;17914;MMX MINER
0;232.293.875  ;2011;17922;BRAZILIAN FR
0;4.605.523  ;2011;17930;ALL PAULISTA
0;604.485;2011;17973;KROTON
0;66.003;2011;18287;CIBRASEC
0;152.661;2011;18376;TRAN PAULIST
0;115.928;2011;18414;IDEIASNET
0;544.383.996  ;2011;18465;ULTRAPAR
0;962.274.260  ;2011;18660;CPFL ENERGIA
0;12.85;2011;18708;PAR AL BAHIA
0;349.548;2011;18724;BRADESPAR
0;297.688;2011;18775;INVEPAR
0;1.765.587.200  ;2011;18821;CCR SA
0;205.487.716  ;2011;18953;CPFL GERACAO
0;650.0;2011;18970;AES TIETE E
0;779.2360000000001;2011;19062;AGPART
0;64.686.081  ;2011;19100;LIQ
0;17.338.833  ;2011;19305;BIOMM
0;146.0;2011;19330;TRIUNFO PART
0;111.050.752  ;2011;19437;AGCONCESSOES
0;114.931;2011;19445;COPASA
0;558.6990000000001;2011;19453;ECORODOVIAS
0;431.23900000000003;2011;19550;NATURA
0;270.390.004  ;2011;19569;GOL
0;300.72;2011;19615;GRENDENE
0;311.803.015  ;2011;19623;DASA
0;110.0;2011;19658;POMIFRUTAS
0;201.708;2011;19739;LOCALIZA
0;158.805;2011;19763;ENERGIAS BR
0;203.934.060  ;2011;19879;LIGHT SA
0;449.542;2011;19909;BR MALLS PAR
0;180.00400000000002;2011;19925;BR PROPERT
0;159.466.791  ;2011;19992;TOTVS
0;109.226.672  ;2011;20010;EQUATORIAL
0;55.75;2011;20028;VALID
0;47.737.703  ;2011;20060;LUPATECH
0;740.465;2011;20087;EMBRAER
0;177.098.264  ;2011;20125;ODONTOPREV
0;263.499;2011;20257;TAESA
0;2.896.785  ;2011;20320;CEMIG GT
0;113.450.000  ;2011;20338;M.DIASBRANCO
0;33.299;2011;20346;PROFARMA
0;2.320.145  ;2011;20354;TERRA SANTA
0;87.8;2011;20362;POSITIVO TEC
0;56.562;2011;20370;LOPES BRASIL
0;185.967;2011;20435;TECNISA
0;48.575;2011;20451;RNI
0;1.123.632  ;2011;20478;PDG REALT
0;79.255.489  ;2011;20494;IGUATEMI
0;233.293.408  ;2011;20524;EVEN
0;399.044.117  ;2011;20532;SANTANDER BR
0;2.061.370.145  ;2011;20540;CPFL RENOVAV
0;84.034.266  ;2011;20567;PINE
0;3.061.444.191  ;2011;20575;JBS
0;428.762.581  ;2011;20605;JHSF PART
0;41.43899999999999;2011;20613;METALFRIO
0;48.471000000000004;2011;20621;FER HERINGER
0;48.443.062  ;2011;20630;CR2
0;285.309;2011;20702;VIVER
0;91.712;2011;20710;LOG-IN
0;98.897.500  ;2011;20745;SLC AGRICOLA
0;146.724.120  ;2011;20770;EZTEC
0;346.983.954  ;2011;20788;MARFRIG
0;66.003;2011;20800;TEGMA
0;65.097;2011;20877;HELBOR
0;63.105.693  ;2011;20885;INDUSVAL
0;482.71;2011;20915;MRV
0;105.909.718  ;2011;20931;MINERVA
0;135.644.240  ;2011;20958;ABC BRASIL
0;143.64700000000002;2011;20966;SPRINGS
0;179.197.214  ;2011;20982;MULTIPLAN
0;159.816.337  ;2011;20990;B2W DIGITAL
0;50.480.600  ;2011;21008;GENERALSHOPP
0;36.96;2011;2100;CAMBUCI
0;82.25200000000001;2011;21016;ESTACIO PART
0;340;2011;21032;ALGAR TELEC
0;86.5;2011;21040;CYRE COM-CCP
0;550.035;2011;21091;DURATEX
0;830.434.740  ;2011;21121;SUL AMERICA
0;81.79899999999999;2011;21130;TRISUL
0;633.058;2011;21148;TENDA
0;21.831999999999997;2011;21156;J.MACEDO
0;179.043;2011;21180;BR BROKERS
0;244.343.940  ;2011;21199;BANCO PAN
0;136.721;2011;21237;ENEVA
0;139.467;2011;21300;ALIANSCE
0;280.575.225  ;2011;21342;OSX BRASIL
0;153.244.532  ;2011;21350;DIRECIONAL
0;32.774;2011;21393;CELGPAR
0;626.784.912  ;2011;21431;HYPERA
0;163.910.000  ;2011;21490;ALUPAR
0;285.139;2011;21555;UNIDAS
0;1.980.000.000  ;2011;21610;B3
0;195.596.248  ;2011;21636;RENOVA
0;48.193000000000005;2011;21717;TARPON INV
0;80.359;2011;21725;ADVANCED-DH
0;545.913.520  ;2011;21733;CIELO
0;156.203.919  ;2011;21881;FLEURY
0;391.283;2011;21903;ECON
0;201.329.600  ;2011;22020;JSL
0;184.551;2011;22055;LOJAS MARISA
0;5.856.247  ;2011;22187;PETRORIO
0;95.028.140  ;2011;22217;ALPER S.A
0;88.542;2011;22349;AREZZO CO
0;76.423.831  ;2011;22357;SIERRABRASIL
0;265.806.905  ;2011;22365;ENAUTA PART
0;69.29;2011;22454;TIME FOR FUN
0;186.49400000000003;2011;22470;MAGAZ LUIZA
0;260.083.463  ;2011;22497;QUALICORP
0;159.699.158  ;2011;22500;BR PHARMA
0;76.175.206  ;2011;22519;TECHNOS
0;226.471.052  ;2011;22551;SOMOS EDUCA
0;100.000.000  ;2011;22594;STATKRAFT
0;2.400.000  ;2011;22616;BTGP BANCO
0;31.189.890  ;2011;22691;LOCAMERICA
0;1.025.926  ;2011;22799;SINQIA
0;13.524.889  ;2011;23035;LINX
0;107.515.296  ;2011;23221;SER EDUCA
0;67.636.917  ;2011;23574;IMC SA
