;cvm;codigo;cvm2;ano;1;1.01.01;1.01.02;1.02.01.01;1.02.01.02;1.02.01.03;2.01.04;2.01.02;2.02.01;3.05;open;close
64;10880;SOND3;10880;2011;93.174;6.341;16.193;4.768;;33.136;;1.550;;5.748;;
65;10880;SOND3;10880;2012;221.789;4.691;14.466;8.911;;1.807;;2.129;;99.909;;
66;10880;SOND3;10880;2013;127.404;12.163;45.098;17.062;;0;;2.243;;30.641;;
67;10880;SOND3;10880;2014;102.918;10.753;26.732;18.853;;95;;1.584;;6.724;;
68;10880;SOND3;10880;2015;87.723;7.029;21.677;23.033;;95;;2.435;;-18.145;;
69;10880;SOND3;10880;2016;79.011;3.134;18.452;22.407;;0;910;528;;-2.883;;
70;10880;SOND3;10880;2017;80.341;3.346;16.102;28.306;;83;0;590;;-83;;
71;10880;SOND3;10880;2018;80.417;4.636;21.020;;25.578;;0;848;;1.014;;
72;10880;SOND5;10880;2010;82.917;3.814;18.052;5.496;;30.101;;737;;11.445;;
73;10880;SOND5;10880;2011;93.174;6.341;16.193;4.768;;33.136;;1.550;;5.748;;
74;10880;SOND5;10880;2012;221.789;4.691;14.466;8.911;;1.807;;2.129;;99.909;;
75;10880;SOND5;10880;2013;127.404;12.163;45.098;17.062;;0;;2.243;;30.641;;
76;10880;SOND5;10880;2014;102.918;10.753;26.732;18.853;;95;;1.584;;6.724;;
77;10880;SOND5;10880;2015;87.723;7.029;21.677;23.033;;95;;2.435;;-18.145;;
78;10880;SOND5;10880;2016;79.011;3.134;18.452;22.407;;0;910;528;;-2.883;;
79;10880;SOND5;10880;2017;80.341;3.346;16.102;28.306;;83;0;590;;-83;;
80;10880;SOND5;10880;2018;80.417;4.636;21.020;;25.578;;0;848;;1.014;;
81;10880;SOND6;10880;2010;82.917;3.814;18.052;5.496;;30.101;;737;;11.445;;
82;10880;SOND6;10880;2011;93.174;6.341;16.193;4.768;;33.136;;1.550;;5.748;;
83;10880;SOND6;10880;2012;221.789;4.691;14.466;8.911;;1.807;;2.129;;99.909;;
84;10880;SOND6;10880;2013;127.404;12.163;45.098;17.062;;0;;2.243;;30.641;;
85;10880;SOND6;10880;2014;102.918;10.753;26.732;18.853;;95;;1.584;;6.724;;
86;10880;SOND6;10880;2015;87.723;7.029;21.677;23.033;;95;;2.435;;-18.145;;
87;10880;SOND6;10880;2016;79.011;3.134;18.452;22.407;;0;910;528;;-2.883;;
88;10880;SOND6;10880;2017;80.341;3.346;16.102;28.306;;83;0;590;;-83;;
89;10880;SOND6;10880;2018;80.417;4.636;21.020;;25.578;;0;848;;1.014;;
90;10960;SPRI3;10960;2010;147.346;1.614;1.696;;;4.652;10.456;7.774;1.969;3.501;3,80;4,95
91;10960;SPRI3;10960;2011;206.925;1.643;92.896;;;4.971;10.035;6.522;285;62.173;5,98;0,60
92;10960;SPRI3;10960;2012;169.192;1.272;71.724;;;4.964;6.515;5.187;0;-5.546;0,57;0,46
93;10960;SPRI3;10960;2013;139.436;3.259;31.096;;;4.967;4.555;7.026;0;-18.766;0,46;0,36
94;10960;SPRI3;10960;2014;128.085;2.013;36.989;;;2.204;7.406;6.020;;-24.444;;
95;10960;SPRI3;10960;2015;91.465;2.861;16.512;;;1.098;1.185;3.892;;-24.490;;
