;cvm;codigo;ano;1;1.01.01;1.01.02;1.02.01.01;1.02.01.02;1.02.01.03;2.01.04;2.01.02;2.02.01;3.05;open;close;QtdAcoes;Volume;EBIT;ROIC;EV;DVIDALIQUIDA
3005;8656;GOAU4;2010;43116705;1062247.0;1120363.0;26797.0;;211851.0;1683865.0;1783390.0;14279761.0;3605125.0;35.77000045776367;26.79999923706055;41268199999999996;654.757;3605125.0;0.08952146488888747;1.4761635328910828e+18;
3006;8656;GOAU3;2011;50172211;1477020.0;3101649.0;0.0;;201954.0;1760780.0;3212278.0;13223260.0;2868471.0;24.04999923706055;15.34000015258789;412681;1.088.033;2868471.0;0.06306700276651146;9924977.735149385;
3007;8656;GOAU4;2011;50172211;1477020.0;3101649.0;0.0;;201954.0;1760780.0;3212278.0;13223260.0;2868471.0;27.45000076293945;17.90999984741211;412681;1.088.033;2868471.0;0.06306700276651146;11328093.764850615;
3008;8656;GOAU3;2012;53370116;1437724.0;1059605.0;;;214876.0;3888232.0;3059814.0;12073867.0;2320455.0;;;412681538;1.104.919;2320455.0;0.04747969300903259;;
3009;8656;GOAU4;2012;53370116;1437724.0;1059605.0;;;214876.0;3888232.0;3059814.0;12073867.0;2320455.0;;;412681538;1.104.919;2320455.0;0.04747969300903259;;
3010;8656;GOAU3;2013;58503964;2099638.0;2123168.0;;;;1901679.0;3271449.0;16107308.0;2717511.0;18.989999771118164;18.96999931335449;412681538;1.178.576;2717511.0;0.05114556473198317;7836822312.164692;
3011;8656;GOAU4;2013;58503964;2099638.0;2123168.0;;;;1901679.0;3271449.0;16107308.0;2717511.0;23.79999923706055;23.399999618530273;412681538;1.178.576;2717511.0;0.05114556473198317;9821820289.548975;
3012;8656;GOAU3;2014;63253424;3111608.0;2828064.0;;;;2843706.0;3236362.0;18649526.0;2869985.0;18.700000762939453;8.630000114440918;412681538;1.259.928;2869985.0;0.05043426944629947;7717145075.451027;
3013;8656;GOAU4;2014;63253424;3111608.0;2828064.0;;;;2843706.0;3236362.0;18649526.0;2869985.0;22.95000076293945;11.149999618530273;412681538;1.259.928;2869985.0;0.05043426944629947;9471041611.951025;
3014;8656;GOAU3;2015;70218773;5681778.0;1270760.0;;;;2807746.0;3629918.0;25062398.0;-3336406.0;8.109999656677246;1.5099999904632568;912681538;209.151.727;-3336406.0;-0.054778626135678785;7401846959.835661;
3015;8656;GOAU4;2015;70218773;5681778.0;1270760.0;;;;2807746.0;3629918.0;25062398.0;-3336406.0;10.81999969482422;1.6599999666213991;912681538;209.151.727;-3336406.0;-0.054778626135678785;9875213962.6317;
3016;8656;GOAU3;2016;54758969;5140117.0;1024411.0;;;;4493944.0;2743839.0;16902766.0;-1644772.0;1.440000057220459;4.320000171661377;963872707;227.953.561;-1644772.0;-0.03508845960213387;1387976753.2332387;
3017;8656;GOAU4;2016;54758969;5140117.0;1024411.0;;;;4493944.0;2743839.0;16902766.0;-1644772.0;1.6000000238418581;4.800000190734863;963872707;227.953.561;-1644772.0;-0.03508845960213387;1542196354.1805162;
3018;8656;GOAU3;2017;50351780;2555433.0;821518.0;;;;2016100.0;3179954.0;15201130.0;1091720.0;4.260000228881837;5.0900001525878915;982123927;3.203.175;1091720.0;0.024469033164559045;4183848153.8103285;
3019;8656;GOAU4;2017;50351780;2555433.0;821518.0;;;;2016100.0;3179954.0;15201130.0;1091720.0;4.739999771118164;5.789999961853027;982123927;3.203.175;1091720.0;0.024469033164559045;4655267189.189672;
3020;8656;GOAU3;2018;51344416;2891217.0;459470.0;;;;;;;4022706.0;;;985679647;3.678.959;4022706.0;;;
3021;8656;GOAU4;2018;51344416;2891217.0;459470.0;;;;;;;4022706.0;;;985679647;3.678.959;4022706.0;;;
3022;8672;JPSA3;2010;20073689;2939084.0;469375.0;18394.0;;20781.0;1808437.0;910086.0;6835847.0;1019165.0;;;963939;19.579.401;1019165.0;0.06281634605007397;;
3023;8672;JPSA3;2011;17203393;3161782.0;360227.0;37534.0;;28946.0;1093155.0;789614.0;6164878.0;1682143.0;;;963939;22.303.864;1682143.0;0.12693505741059252;;
3024;8672;JPSA3;2012;16862829;1712655.0;972148.0;10652.0;16174.0;63032.0;953414.0;741347.0;7054012.0;815034.0;;;963939;31.092.222;815034.0;0.05656490982923176;;5232765.0
3025;8672;JPSA3;2013;5768722;279392.0;1195204.0;16658.0;;28986.0;341392.0;30438.0;1879106.0;178652.0;17.0;19.799999237060547;963939;188.976.682;178652.0;0.03272678778037741;16386963.0;
3026;8672;JPSA3;2014;5831708;259126.0;698393.0;69914.0;;71575.0;339945.0;41830.0;1995134.0;-144778.0;19.799999237060547;17.100000381469727;963939;199.084.666;-144778.0;-0.026176910481612626;19085991.464572906;
3027;8672;JPSA3;2015;5441706;132883.0;528890.0;54632.0;0.0;83855.0;407340.0;29603.0;1956695.0;-291172.0;17.100000381469727;10.0;963939;209.151.727;-291172.0;-0.05515435992438277;16483357.267713547;1563775.0
3028;8672;JPSA3;2016;5403744;186472.0;464868.0;6453.0;0.0;84668.0;359085.0;11759.0;2005720.0;361714.0;10.0;5.099999904632568;94065;227.953.561;361714.0;0.06948671533430038;940650.0;1622344.0
3029;8672;JPSA3;2017;5177295;52785.0;430071.0;0.0;36589.0;77699.0;230667.0;22386.0;1954381.0;403648.0;5.099999904632568;20.100000381469727;8789200000000001;247.742.270;403648.0;0.07911371812993961;4.482491916179658e+16;1587904.0
3030;8672;JPSA3;2018;5394908;24301.0;640313.0;0.0;;30932.0;;;;435070.0;;;87889;6.332000000000001;435070.0;;;
3031;8753;MTSA3;2010;258518220;84523003.0;10360641.0;;;1195468.0;1322848.0;5381395.0;58966092.0;25081443.0;;;9764483;19.579.401;25081443.0;0.14875081237408877;;
3032;8753;MTSA4;2010;258518220;84523003.0;10360641.0;;;1195468.0;1322848.0;5381395.0;58966092.0;25081443.0;;;9764483;19.579.401;25081443.0;0.14875081237408877;;
3033;8753;MTSA3;2011;286567639;95342077.0;9037042.0;;;1190547.0;58847125.0;5370771.0;27681156.0;18939504.0;;;9764483;22.303.864;18939504.0;0.10190484677901039;;
